RIC,Date,BID,ASK,ACCRUAL,MID_YIELD,CONVEXITY,MOD_DURATION,BPV,ZSPREAD,OIS_SPREAD
DE103070=,2025-12-31,89.66,89.74,0,2.3869,24.653,4.5008,4.037,-15.2807,9.7801
DE103070=,2026-01-02,89.55,89.65,0,2.4131,24.6137,4.497,4.029,-14.5883,10.4533
DE103070=,2026-01-05,89.637,89.717,0,2.3958,24.5953,4.495,4.031,-14.2317,10.4406
DE103070=,2026-01-06,89.754,89.874,0,2.364,24.5839,4.4938,4.036,-14.579,9.8579
DE103070=,2026-01-07,89.907,90.007,0,2.33,24.5736,4.4926,4.041,-14.2415,10.2772
DE103070=,2026-01-08,89.86,89.94,0,2.35,24.4841,4.4837,4.03,-14.3234,10.2179
DE103070=,2026-01-09,89.821,89.901,0,2.3581,24.4536,4.4806,4.026,-14.2534,10.086
DE103070=,2026-01-12,89.885,90.005,0,2.3389,24.4361,4.4788,4.029,-14.0856,10.4303
DE103070=,2026-01-13,89.893,89.973,0,2.3426,24.4078,4.476,4.026,-14.2436,10.2695
DE103070=,2026-01-14,90.01,90.09,0,2.3146,24.3946,4.4745,4.03,-15.4258,9.4902
DE103070=,2026-01-15,89.975,90.075,0,2.3267,24.3091,4.466,4.02,-15.7339,9.5547
DE103070=,2026-01-16,89.893,89.993,0,2.3491,24.272,4.4623,4.013,-15.5696,9.6198
DE103070=,2026-01-19,89.988,90.074,0,2.3274,24.2558,4.4606,4.016,-16.672,8.8659
DE103070=,2026-01-20,89.996,90.072,0,2.3281,24.229,4.4579,4.014,-16.5712,9.1492
DE103070=,2026-01-21,89.915,89.991,0,2.3497,24.1922,4.4542,4.007,-16.6119,9.2554
DE103070=,2026-01-22,89.866,89.935,0,2.3672,24.1047,4.4455,3.997,-16.0219,9.8608
DE103070=,2026-01-23,89.773,89.853,0,2.3905,24.0673,4.4418,3.989,-15.6747,10.1618
DE103070=,2026-01-26,89.908,89.986,0,2.3584,24.056,4.4405,3.994,-16.0113,9.7176
DE103070=,2026-01-27,89.939,90.001,0,2.3541,24.0317,4.438,3.993,-15.8654,10.0113
DE103070=,2026-01-28,90.047,90.123,0,2.3267,24.0182,4.4365,3.997,-15.626,9.8274
DE103070=,2026-01-29,90.15,90.229,0,2.3048,23.9494,4.4294,3.995,-15.6326,9.7635
DE103070=,2026-01-30,90.13,90.208,0,2.3114,23.92,4.4265,3.991,-15.8811,9.7569
DE103070=,2026-02-02,90.036,90.112,0,2.3366,23.8819,4.4227,3.984,-15.4664,10.2892
DE103070=,2026-02-03,89.977,90.053,0,2.3529,23.848,4.4193,3.978,-15.1788,10.4217
DE103070=,2026-02-04,90.11,90.163,0,2.3238,23.8353,4.4179,3.982,-15.8232,10.0608
DE103070=,2026-02-05,90.174,90.239,0,2.3104,23.7627,4.4104,3.979,-16.101,9.8711
DE103070=,2026-02-06,90.184,90.25,0,2.3092,23.737,4.4078,3.977,-15.7001,9.9867
DE103070=,2026-02-09,90.246,90.312,0,2.295,23.7174,4.4057,3.978,-15.0366,10.4215
DE103070=,2026-02-10,90.347,90.413,0,2.2711,23.7023,4.4041,3.98,-15.2404,9.791
DE103070=,2026-02-11,90.339,90.405,0,2.2745,23.6745,4.4013,3.978,-15.1423,9.8061
DE103070=,2026-02-12,90.431,90.497,0,2.2555,23.6047,4.394,3.975,-15.2584,9.8381
DE103070=,2026-02-13,90.528,90.594,0,2.2325,23.5892,4.3924,3.978,-15.3051,9.8429
DE103070=,2026-02-16,90.512,90.596,0,2.2357,23.5616,4.3895,3.975,-14.7784,10.1506
DE103070=,2026-02-17,90.57,90.63,0,2.2255,23.5401,4.3873,3.975,-15.6405,9.7123
