RIC,Issuer,CouponRate,MaturityDate,IssueDate,ISIN,Currency,FaceValue,FaceIssuedUSD,CouponFrequencyDescription,NextCouponDate,Bid,Ask,AccruedInterest,MidYield,ModifiedDuration,DollarDuration,Convexity,Z-Spread,OIS-Spread
FI0197959=,"Finland, Republic of (Government)",0.5,2026-04-15,2016-03-08,FI4000197959,EUR,100,8325184094,Annually,2026-04-15,99.64,99.78,0.4041,2.0098,0.191,0.191,0.073,35.7209,7.8498
FI0511449=,"Finland, Republic of (Government)",0,2026-09-15,2021-08-31,FI4000511449,EUR,100,4706921944,Annually,2026-09-15,98.72,98.88,0,1.988,0.6036,0.5964,0.7287,-6.5401,6.292
FI0527551=,"Finland, Republic of (Government)",1.375,2027-04-15,2022-08-30,FI4000527551,EUR,100,5098085419,Annually,2026-04-15,99.15,99.29,1.1113,2.0423,1.1546,1.1584,2.4774,-4.382,11.4742
FI0278551=,"Finland, Republic of (Government)",0.5,2027-09-15,2017-09-06,FI4000278551,EUR,100,8144918998,Annually,2026-09-15,97.4,97.56,0.1945,2.1066,1.5728,1.536,4.0188,-0.345,15.4949
FI0037635=,"Finland, Republic of (Government)",2.75,2028-07-04,2012-02-07,FI4000037635,EUR,100,6244477172,Annually,2026-07-04,101.377,101.427,1.6199,2.1441,2.2832,2.3522,7.5685,-15.0969,11.6388
FI0348727=,"Finland, Republic of (Government)",0.5,2028-09-15,2018-09-04,FI4000348727,EUR,100,8976730486,Annually,2026-09-15,95.54,95.68,0.1945,2.2495,2.5385,2.432,8.9511,-4.5756,20.2181
FI0557525=,"Finland, Republic of (Government)",2.875,2029-04-15,2023-08-30,FI4000557525,EUR,100,7783210603,Annually,2026-04-15,101.632,101.682,2.3236,2.3286,2.9602,3.078,11.9947,-2.8874,22.3658
FI0369467=,"Finland, Republic of (Government)",0.5,2029-09-15,2019-02-12,FI4000369467,EUR,100,9372606774,Annually,2026-09-15,93.486,93.536,0.1945,2.3969,3.4961,3.276,15.7055,-0.749,24.9998
FI0577952=,"Finland, Republic of (Government)",2.5,2030-04-15,2024-08-27,FI4000577952,EUR,100,6623858615,Annually,2026-04-15,100.004,100.134,2.0274,2.4813,3.8555,3.936,19.258,3.3223,27.7901
FI0441878=,"Finland, Republic of (Government)",0,2030-09-15,2020-09-02,FI4000441878,EUR,100,8014138438,Annually,2026-09-15,88.94,89.1,0,2.5545,4.4961,4.0024,24.5991,6.4479,31.3102
