RIC,ISIN,Issuer,Ticker,CouponRate,MaturityDate,IssueDate,Currency,FaceIssuedUSD,NextPayDate,CouponFrequency
FI0197959=,FI4000197959,"Finland, Republic of (Government)",FINL,0.5,2026-04-15,2016-03-08,Euro,8219911123,,Annually
FI0590971=,FI4000590971,"Finland, Republic of (Government)",FIBL,0,2026-05-13,2025-06-05,Euro,8488634512,,
FI0592183=,FI4000592183,"Finland, Republic of (Government)",FIBL,0,2026-08-13,2025-09-11,Euro,6070124008,,
FI0511449=,FI4000511449,"Finland, Republic of (Government)",FINL,0,2026-09-15,2021-08-31,Euro,4647402340,,Annually
FI0598396=,FI4000598396,"Finland, Republic of (Government)",FIBL,0,2026-11-13,2026-01-09,Euro,2710499988,,
FI0527551=,FI4000527551,"Finland, Republic of (Government)",FINL,1.375,2027-04-15,2022-08-30,Euro,5033619506,2026-04-15,Annually
FI0278551=,FI4000278551,"Finland, Republic of (Government)",FINL,0.5,2027-09-15,2017-09-06,Euro,8041925501,2026-09-15,Annually
FI0037635=,FI4000037635,"Finland, Republic of (Government)",FINL,2.75,2028-07-04,2012-02-07,Euro,6165514994,2026-07-04,Annually
FI0348727=,FI4000348727,"Finland, Republic of (Government)",FINL,0.5,2028-09-15,2018-09-04,Euro,8863218631,2026-09-15,Annually
FI0557525=,FI4000557525,"Finland, Republic of (Government)",FINL,2.875,2029-04-15,2023-08-30,Euro,7684790954,2026-04-15,Annually
FI0369467=,FI4000369467,"Finland, Republic of (Government)",FINL,0.5,2029-09-15,2019-02-12,Euro,9254089016,2026-09-15,Annually
FI0577952=,FI4000577952,"Finland, Republic of (Government)",FINL,2.5,2030-04-15,2024-08-27,Euro,6540099113,2026-04-15,Annually
FI0441878=,FI4000441878,"Finland, Republic of (Government)",FINL,0,2030-09-15,2020-09-02,Euro,7912798678,2026-09-15,Annually
FI0148630=,FI4000148630,"Finland, Republic of (Government)",FINL,0.75,2031-04-15,2015-03-10,Euro,6429585165,2026-04-15,Annually
FI0507231=,FI4000507231,"Finland, Republic of (Government)",FINL,0.125,2031-09-15,2021-05-26,Euro,8300179148,2026-09-15,Annually
FI0591862=,FI4000591862,"Finland, Republic of (Government)",FINL,2.625,2032-04-15,2025-08-28,Euro,5465205555,2026-04-15,Annually
FI0523238=,FI4000523238,"Finland, Republic of (Government)",FINL,1.5,2032-09-15,2022-06-01,Euro,9035387729,2026-09-15,Annually
FI0550249=,FI4000550249,"Finland, Republic of (Government)",FINL,3,2033-09-15,2023-05-04,Euro,9218026569,2026-09-15,Annually
FI0306758=,FI4000306758,"Finland, Republic of (Government)",FINL,1.125,2034-04-15,2018-02-13,Euro,6344663921,2026-04-15,Annually
FI0571104=,FI4000571104,"Finland, Republic of (Government)",FINL,3,2034-09-15,2024-04-30,Euro,9688001675,2026-09-15,Annually
FI0587415=,FI4000587415,"Finland, Republic of (Government)",FINL,3,2035-09-15,2025-05-07,Euro,10532560899,2026-09-15,Annually
FI0415153=,FI4000415153,"Finland, Republic of (Government)",FINL,0.125,2036-04-15,2020-02-11,Euro,5994509201,2026-04-15,Annually
FI0546528=,FI4000546528,"Finland, Republic of (Government)",FINL,2.75,2038-04-15,2023-02-02,Euro,5424489890,2026-04-15,Annually
FI0440557=,FI4000440557,"Finland, Republic of (Government)",FINL,0.25,2040-09-15,2020-06-17,Euro,5861892464,2026-09-15,Annually
FI0598776=,FI4000598776,"Finland, Republic of (Government)",FINL,3.55,2041-04-15,2026-01-28,Euro,4123915218,2026-04-15,Annually
FI0046545=,FI4000046545,"Finland, Republic of (Government)",FINL,2.625,2042-07-04,2012-07-03,Euro,6933296107,2026-07-04,Annually
FI0517677=,FI4000517677,"Finland, Republic of (Government)",FINL,0.5,2043-04-15,2022-02-02,Euro,6305111560,2026-04-15,Annually
FI0586284=,FI4000586284,"Finland, Republic of (Government)",FINL,3.2,2045-04-15,2025-01-29,Euro,3566692259,2026-04-15,Annually
FI0242870=,FI4000242870,"Finland, Republic of (Government)",FINL,1.375,2047-04-15,2017-02-15,Euro,7161303831,2026-04-15,Annually
FI0480488=,FI4000480488,"Finland, Republic of (Government)",FINL,0.125,2052-04-15,2021-02-09,Euro,5952630231,2026-04-15,Annually
FI0566294=,FI4000566294,"Finland, Republic of (Government)",FINL,2.95,2055-04-15,2024-01-24,Euro,6830925292,2026-04-15,Annually
