,Date,10Y,11Y,12Y,13Y,14Y,15Y,16Y,17Y,18M,18Y,19Y,1Y,20Y,21Y,22Y,23Y,24Y,25Y,26Y,27Y,28Y,29Y,2Y,30Y,3Y,40Y,4Y,50Y,5Y,6Y,7Y,8Y,9Y
0,2000-01-03,5.85,5.915,5.975,,,6.12,,,4.285,,,4.015,6.205,,,,,6.23,,,,,4.513,6.225,4.868,,5.11,,5.27,5.415,5.55,5.685,5.785
1,2000-01-04,5.855,5.91,5.97,,,6.105,,,4.315,,,4.025,6.205,,,,,6.215,,,,,4.545,6.21,4.875,,5.12,,5.29,5.425,5.565,5.69,5.78
2,2000-01-05,5.848,5.95,5.96,,,6.111,,,4.305,,,4.045,6.192,,,,,6.216,,,,,4.533,6.203,4.855,,5.1,,5.265,5.42,5.554,5.68,5.778
3,2000-01-06,5.92,5.98,6.035,,,6.17,,,,,,4.015,6.254,,,,,6.264,,,,,4.535,6.269,4.875,,5.135,,5.305,5.455,5.61,5.745,5.845
4,2000-01-07,5.815,,5.944,,,6.094,,,4.29,,,4.005,6.181,,,,,6.201,,,,,4.47,6.198,4.778,,5.015,,5.185,5.35,5.506,5.6375,5.743
5,2000-01-10,5.805,,5.935,,,6.08,,,4.215,,,3.985,6.17,,,,,6.185,,,,,4.4375,6.18,4.75,,4.995,,5.17,5.335,5.48,5.625,5.73
6,2000-01-11,5.9,,6.02,,,6.17,,,4.27,,,4.025,6.26,,,,,6.282,,,,,4.4925,6.275,4.81,,5.11,,5.28,5.435,5.595,5.725,5.825
7,2000-01-12,5.9,,6.025,,,6.165,,,4.28,,,4.035,6.265,,,,,6.28,,,,,4.5325,6.275,4.89,,5.1125,,5.2925,5.4525,5.6025,5.73,5.83
8,2000-01-13,5.89,,6.015,,,6.16,,,4.265,,,4.015,6.255,,,,,6.275,,,,,4.5,6.27,4.85,,5.11,,5.2875,5.45,5.59,5.725,5.82
9,2000-01-14,5.922,,6.048,,,6.19,,,4.215,,,3.985,6.288,,,,,6.302,,,,,4.515,6.302,4.855,,5.121295,,5.33,5.454,5.618,5.7225,5.825
10,2000-01-17,5.9225,,6.05,,,6.2,,,4.25,,,3.995,6.295,,,,,6.31,,,,,4.52,6.305,4.875,,5.14,,5.32,5.48,5.625,5.7525,5.85
11,2000-01-18,5.995,,6.12,,,6.28,,,4.285,,,4.005,6.365,,,,,6.375,,,,,4.5425,6.375,4.91,,5.18,,5.37,5.53,5.68,5.83,5.925
12,2000-01-19,5.9675,,6.095,,,6.235,,,4.255,,,3.995,6.33,,,,,6.345,,,,,4.515,6.34,4.88,,5.158295,,5.35,5.5,5.654,5.787,5.885
13,2000-01-20,5.93,,6.055,,,6.2,,,4.255,,,3.985,6.295,,,,,6.305,,,,,4.5,6.3,4.865,,5.1425,,5.315,5.48,5.63,5.76,5.855
14,2000-01-21,5.9725,,6.095,,,6.235,,,4.245,,,3.995,6.315,,,,,6.325,,,,,4.533,6.32,4.918,,5.18,,5.37,5.53,5.6725,5.8,5.895
15,2000-01-24,5.95,,6.075,,,6.21,,,4.265,,,4.015,6.29,,,,,6.292,,,,,4.5325,6.29,4.9,,5.175,,5.365,5.52,5.67,5.785,5.8825
