Date,TRDPRC_1,MOD_DURTN,MAC_DURTN,CONVEXITY,AVG_LIFE,YLDTOMAT
2000-01-03,97.7535,,,,,
2000-01-04,97.1968,,,,,
2000-01-05,97.1898,,,,,
2000-01-06,97.0034,,,,,
2000-01-07,97.4426,,,,,
2000-01-10,97.7814,,,,,
2000-01-11,97.2034,,,,,
2000-01-12,97.1292,,,,,
2000-01-13,97.3175,,,,,
2000-01-14,97.2481,,,,,
2000-01-17,97.1457,,,,,
2000-01-18,96.8329,,,,,
2000-01-19,96.99,,,,,
2000-01-20,96.9906,,,,,
2000-01-21,97.0135,,,,,
2000-01-24,97.0935,,,,,
2000-01-25,97.3538,,,,,
2000-01-26,97.3386,,,,,
2000-01-27,96.8773,,,,,
2000-01-28,96.9848,,,,,
2000-01-31,97.278,,,,,
2000-02-01,97.6899,,,,,
2000-02-02,97.6154,,,,,
2000-02-03,97.747,,,,,
2000-02-04,97.5318,,,,,
2000-02-07,97.391,,,,,
2000-02-08,97.6341,,,,,
2000-02-09,97.5034,,,,,
2000-02-10,97.2283,,,,,
2000-02-11,97.2317,,,,,
2000-02-14,97.5443,,,,,
2000-02-15,97.4385,,,,,
2000-02-16,97.3268,,,,,
2000-02-17,97.2939,,,,,
2000-02-18,97.3337,,,,,
2000-02-21,97.6466,,,,,
2000-02-22,98.1456,,,,,
2000-02-23,98.0144,,,,,
2000-02-24,98.2497,,,,,
2000-02-25,98.0449,,,,,
2000-02-28,97.863,,,,,
2000-02-29,97.8837,,,,,
2000-03-01,97.9603,,,,,
2000-03-02,97.7879,,,,,
2000-03-03,98.038,,,,,
2000-03-06,98.1133,,,,,
2000-03-07,98.2485,,,,,
2000-03-08,98.1557,,,,,
2000-03-09,98.6104,,,,,
2000-03-10,98.4487,,,,,
2000-03-13,98.649,,,,,
2000-03-14,98.5219,,,,,
2000-03-15,98.623,,,,,
2000-03-16,98.9813,,,,,
2000-03-17,99.0895,,,,,
2000-03-20,99.1355,,,,,
2000-03-21,99.2368,,,,,
2000-03-22,99.0891,,,,,
2000-03-23,99.3639,,,,,
2000-03-24,99.1754,,,,,
2000-03-27,98.8888,,,,,
2000-03-28,99.0959,,,,,
2000-03-29,98.9471,,,,,
2000-03-30,99.1418,,,,,
2000-03-31,99.386,,,,,
2000-04-03,99.5054,,,,,
2000-04-04,99.5167,,,,,
2000-04-05,99.8084,,,,,
2000-04-06,99.5404,,,,,
2000-04-07,99.5839,,,,,
2000-04-10,99.7404,,,,,
2000-04-11,99.7748,,,,,
2000-04-12,99.6759,,,,,
2000-04-13,99.5812,,,,,
2000-04-14,99.396,,,,,
2000-04-17,99.539,,,,,
2000-04-18,99.4736,,,,,
2000-04-19,99.3493,,,,,
2000-04-20,99.2797,,,,,
2000-04-21,99.2941,,,,,
2000-04-24,99.3377,,,,,
2000-04-25,99.1761,,,,,
2000-04-26,99.323,,,,,
2000-04-27,99.2539,,,,,
2000-04-28,99.3292,,,,,
2000-05-01,99.3439,,,,,
2000-05-02,99.0714,,,,,
2000-05-03,98.6818,,,,,
2000-05-04,98.5025,,,,,
2000-05-05,98.4767,,,,,
2000-05-08,98.7028,,,,,
2000-05-09,98.8737,,,,,
2000-05-10,99.039,,,,,
2000-05-11,98.5603,,,,,
2000-05-12,98.6664,,,,,
2000-05-15,98.8436,,,,,
2000-05-16,98.9254,,,,,
2000-05-17,98.4866,,,,,
2000-05-18,98.4976,,,,,
2000-05-19,98.399,,,,,
2000-05-22,98.9028,,,,,
2000-05-23,98.8249,,,,,
2000-05-24,99.0324,,,,,
2000-05-25,99.2785,,,,,
2000-05-26,99.6481,,,,,
2000-05-29,99.6914,,,,,
2000-05-30,99.3881,,,,,
2000-05-31,99.519,,,,,
2000-06-01,99.8559,,,,,
2000-06-02,100.1208,,,,,
2000-06-05,100.1383,,,,,
2000-06-06,100.0224,,,,,
2000-06-07,100.0621,,,,,
2000-06-08,99.6138,,,,,
2000-06-09,99.8278,,,,,
2000-06-12,99.8311,,,,,
2000-06-13,100.0866,,,,,
2000-06-14,99.8618,,,,,
2000-06-15,100.0068,,,,,
2000-06-16,100.2618,,,,,
2000-06-19,100.2251,,,,,
2000-06-20,100.1858,,,,,
2000-06-21,99.8083,,,,,
2000-06-22,99.6704,,,,,
2000-06-23,99.5353,,,,,
2000-06-26,99.6497,,,,,
2000-06-27,99.6863,,,,,
2000-06-28,99.7147,,,,,
2000-06-29,99.9168,,,,,
2000-06-30,99.9396,,,,,
2000-07-03,99.7275,,,,,
2000-07-04,99.7049,,,,,
2000-07-05,99.8768,,,,,
2000-07-06,99.5695,,,,,
2000-07-07,99.839,,,,,
2000-07-10,99.7395,,,,,
2000-07-11,99.906,,,,,
2000-07-12,99.7763,,,,,
2000-07-13,99.8399,,,,,
2000-07-14,99.6533,,,,,
2000-07-17,99.5805,,,,,
2000-07-18,99.5663,,,,,
2000-07-19,99.691,,,,,
2000-07-20,99.8718,,,,,
2000-07-21,99.9645,,,,,
2000-07-24,99.989,,,,,
2000-07-25,100.1667,,,,,
2000-07-26,100.3724,,,,,
2000-07-27,100.3615,,,,,
2000-07-28,100.2517,,,,,
2000-07-31,100.2659,,,,,
2000-08-01,100.5208,,,,,
2000-08-02,100.4216,,,,,
2000-08-03,100.3964,,,,,
2000-08-04,100.4245,,,,,
2000-08-07,100.5817,,,,,
2000-08-08,100.4594,,,,,
2000-08-09,100.536,,,,,
2000-08-10,100.6949,,,,,
2000-08-11,100.6754,,,,,
2000-08-14,100.5439,,,,,
2000-08-15,100.3647,,,,,
2000-08-16,100.3232,,,,,
2000-08-17,100.3506,,,,,
2000-08-18,100.3604,,,,,
2000-08-21,100.1643,,,,,
2000-08-22,100.2928,,,,,
2000-08-23,100.4402,,,,,
2000-08-24,100.4611,,,,,
2000-08-25,100.3942,,,,,
2000-08-28,100.4384,,,,,
2000-08-29,100.2168,,,,,
2000-08-30,100.2478,,,,,
2000-08-31,100.3011,,,,,
2000-09-01,100.7869,,,,,
2000-09-05,100.7242,,,,,
2000-09-06,100.6251,,,,,
2000-09-07,100.5541,,,,,
2000-09-08,100.458,,,,,
2000-09-11,100.5699,,,,,
2000-09-12,100.5394,,,,,
2000-09-13,100.5718,,,,,
2000-09-14,100.6653,,,,,
2000-09-15,100.5708,,,,,
2000-09-18,100.4647,,,,,
2000-09-19,100.6262,,,,,
2000-09-20,100.6303,,,,,
2000-09-21,100.7738,,,,,
2000-09-22,101.006,,,,,
2000-09-25,100.7865,,,,,
2000-09-26,100.9184,,,,,
2000-09-27,100.8187,,,,,
2000-09-28,100.9065,,,,,
2000-09-29,101.0976,,,,,
2000-10-02,101.0906,,,,,
2000-10-03,101.0966,,,,,
2000-10-04,101.0608,,,,,
2000-10-05,100.9587,,,,,
2000-10-06,101.0847,,,,,
2000-10-09,101.2726,,,,,
2000-10-10,101.2852,,,,,
2000-10-11,101.4944,,,,,
2000-10-12,101.5227,,,,,
2000-10-13,101.5358,,,,,
2000-10-16,101.4366,,,,,
2000-10-17,101.4246,,,,,
2000-10-18,101.5091,,,,,
2000-10-19,101.4444,,,,,
2000-10-20,101.4354,,,,,
2000-10-23,101.4983,,,,,
2000-10-24,101.5147,,,,,
2000-10-25,101.4035,,,,,
2000-10-26,101.4441,,,,,
2000-10-27,101.5673,,,,,
2000-10-30,101.5593,,,,,
2000-10-31,101.5774,,,,,
2000-11-01,101.6656,,,,,
2000-11-02,101.6645,,,,,
2000-11-03,101.6688,,,,,
2000-11-06,101.6526,,,,,
2000-11-07,101.6245,,,,,
2000-11-08,101.5524,,,,,
2000-11-09,101.6583,,,,,
2000-11-10,101.7319,,,,,
2000-11-13,101.9035,,,,,
2000-11-14,101.9381,,,,,
2000-11-15,101.9754,,,,,
