Date,TRDPRC_1,MOD_DURTN,MAC_DURTN,CONVEXITY,AVG_LIFE,YLDTOMAT
2000-01-03,99.0206,,,,,
2000-01-04,98.6189,,,,,
2000-01-05,98.5349,,,,,
2000-01-06,98.3983,,,,,
2000-01-07,98.8642,,,,,
2000-01-10,99.342,,,,,
2000-01-11,98.6746,,,,,
2000-01-12,98.5626,,,,,
2000-01-13,98.8013,,,,,
2000-01-14,98.6966,,,,,
2000-01-17,98.7465,,,,,
2000-01-18,98.4711,,,,,
2000-01-19,98.6192,,,,,
2000-01-20,98.6497,,,,,
2000-01-21,98.6698,,,,,
2000-01-24,98.6898,,,,,
2000-01-25,98.9577,,,,,
2000-01-26,98.9291,,,,,
2000-01-27,98.4326,,,,,
2000-01-28,98.5238,,,,,
2000-01-31,98.7227,,,,,
2000-02-01,99.3165,,,,,
2000-02-02,99.2954,,,,,
2000-02-03,99.3622,,,,,
2000-02-04,99.1999,,,,,
2000-02-07,99.174,,,,,
2000-02-08,99.4248,,,,,
2000-02-09,99.2743,,,,,
2000-02-10,99.1202,,,,,
2000-02-11,99.057,,,,,
2000-02-14,99.3014,,,,,
2000-02-15,99.2139,,,,,
2000-02-16,99.1209,,,,,
2000-02-17,99.0101,,,,,
2000-02-18,99.0867,,,,,
2000-02-21,99.4002,,,,,
2000-02-22,99.9783,,,,,
2000-02-23,99.8435,,,,,
2000-02-24,100.1694,,,,,
2000-02-25,99.9169,,,,,
2000-02-28,99.7382,,,,,
2000-02-29,99.7311,,,,,
2000-03-01,99.8765,,,,,
2000-03-02,99.6806,,,,,
2000-03-03,99.9977,,,,,
2000-03-06,100.0797,,,,,
2000-03-07,100.2954,,,,,
2000-03-08,100.1901,,,,,
2000-03-09,100.732,,,,,
2000-03-10,100.542,,,,,
2000-03-13,100.7384,,,,,
2000-03-14,100.5605,,,,,
2000-03-15,100.6331,,,,,
2000-03-16,100.952,,,,,
2000-03-17,101.0808,,,,,
2000-03-20,101.172,,,,,
2000-03-21,101.2541,,,,,
2000-03-22,101.0398,,,,,
2000-03-23,101.2946,,,,,
2000-03-24,101.0687,,,,,
2000-03-27,100.7633,,,,,
2000-03-28,101.0269,,,,,
2000-03-29,100.8518,,,,,
2000-03-30,101.0382,,,,,
2000-03-31,101.2229,,,,,
2000-04-03,101.3206,,,,,
2000-04-04,101.243,,,,,
2000-04-05,101.2934,,,,,
2000-04-06,100.9857,,,,,
2000-04-07,101.0754,,,,,
2000-04-10,101.2761,,,,,
2000-04-11,101.1085,,,,,
2000-04-12,100.9315,,,,,
2000-04-13,100.8143,,,,,
2000-04-14,100.6587,,,,,
2000-04-17,100.5271,,,,,
2000-04-18,100.553,,,,,
2000-04-19,100.49,,,,,
2000-04-20,100.4401,,,,,
2000-04-21,100.4563,,,,,
2000-04-24,100.5052,,,,,
2000-04-25,100.3901,,,,,
2000-04-26,100.462,,,,,
2000-04-27,100.2288,,,,,
2000-04-28,100.3074,,,,,
2000-05-01,100.3245,,,,,
2000-05-02,100.0382,,,,,
2000-05-03,99.5166,,,,,
2000-05-04,99.3122,,,,,
2000-05-05,99.1609,,,,,
2000-05-08,99.4669,,,,,
2000-05-09,99.5975,,,,,
2000-05-10,99.5094,,,,,
2000-05-11,99.1227,,,,,
2000-05-12,99.0306,,,,,
2000-05-15,99.2358,,,,,
2000-05-16,99.2272,,,,,
2000-05-17,98.7645,,,,,
2000-05-18,98.5765,,,,,
2000-05-19,98.0938,,,,,
2000-05-22,98.2972,,,,,
2000-05-23,98.3526,,,,,
2000-05-24,98.8126,,,,,
2000-05-25,98.971,,,,,
2000-05-26,99.5066,,,,,
2000-05-29,99.5577,,,,,
2000-05-30,99.3251,,,,,
2000-05-31,99.4995,,,,,
2000-06-01,99.7196,,,,,
2000-06-02,99.9934,,,,,
2000-06-05,100.2088,,,,,
2000-06-06,100.1002,,,,,
2000-06-07,100.3663,,,,,
2000-06-08,99.8672,,,,,
2000-06-09,99.9769,,,,,
2000-06-12,100.0082,,,,,
2000-06-13,100.2529,,,,,
2000-06-14,100.0533,,,,,
2000-06-15,100.221,,,,,
2000-06-16,100.3775,,,,,
2000-06-19,100.3336,,,,,
2000-06-20,100.2746,,,,,
2000-06-21,99.8868,,,,,
2000-06-22,99.7375,,,,,
2000-06-23,99.6179,,,,,
2000-06-26,99.7489,,,,,
2000-06-27,99.739,,,,,
2000-06-28,99.8126,,,,,
2000-06-29,100.0805,,,,,
2000-06-30,100.1641,,,,,
2000-07-03,100.1361,,,,,
2000-07-04,100.1887,,,,,
2000-07-05,100.4064,,,,,
2000-07-06,100.2373,,,,,
2000-07-07,100.5614,,,,,
2000-07-10,100.4909,,,,,
2000-07-11,100.6032,,,,,
2000-07-12,100.5549,,,,,
2000-07-13,100.7705,,,,,
2000-07-14,100.5699,,,,,
2000-07-17,100.5184,,,,,
2000-07-18,99.5537,,,,,
2000-07-19,100.5898,,,,,
2000-07-20,100.7579,,,,,
2000-07-21,100.7873,,,,,
2000-07-24,100.8415,,,,,
2000-07-25,101.05,,,,,
2000-07-26,101.2139,,,,,
2000-07-27,101.1596,,,,,
2000-07-28,101.0302,,,,,
2000-07-31,101.081,,,,,
2000-08-01,101.2629,,,,,
2000-08-02,101.2658,,,,,
2000-08-03,101.2596,,,,,
2000-08-04,101.2978,,,,,
2000-08-07,101.4999,,,,,
2000-08-08,101.436,,,,,
2000-08-09,101.477,,,,,
2000-08-10,101.7138,,,,,
2000-08-11,101.6051,,,,,
2000-08-14,101.468,,,,,
2000-08-15,101.3117,,,,,
2000-08-16,101.2302,,,,,
2000-08-17,101.2614,,,,,
2000-08-18,101.2416,,,,,
2000-08-21,101.0004,,,,,
2000-08-22,101.0909,,,,,
2000-08-23,101.2041,,,,,
2000-08-24,101.2544,,,,,
2000-08-25,101.2216,,,,,
2000-08-28,101.2739,,,,,
2000-08-29,101.1254,,,,,
2000-08-30,101.1908,,,,,
2000-08-31,101.2684,,,,,
2000-09-01,101.7425,,,,,
2000-09-05,101.7723,,,,,
2000-09-06,101.6089,,,,,
2000-09-07,101.6049,,,,,
2000-09-08,101.61,,,,,
2000-09-11,101.7138,,,,,
2000-09-12,101.7841,,,,,
2000-09-13,101.8741,,,,,
2000-09-14,101.9315,,,,,
2000-09-15,101.891,,,,,
2000-09-18,101.7803,,,,,
2000-09-19,101.8814,,,,,
2000-09-20,101.8397,,,,,
2000-09-21,102.0116,,,,,
2000-09-22,102.1341,,,,,
2000-09-25,101.9358,,,,,
2000-09-26,102.1113,,,,,
2000-09-27,102.1525,,,,,
2000-09-28,102.1778,,,,,
2000-09-29,102.4227,,,,,
2000-10-02,102.478,,,,,
2000-10-03,102.5355,,,,,
2000-10-04,102.499,,,,,
2000-10-05,102.3708,,,,,
2000-10-06,102.4272,,,,,
2000-10-09,102.5796,,,,,
2000-10-10,102.4856,,,,,
2000-10-11,101.9078,,,,,
2000-10-12,102.4412,,,,,
2000-10-13,102.0867,,,,,
2000-10-16,102.1084,,,,,
2000-10-17,102.0221,,,,,
2000-10-18,101.7633,,,,,
2000-10-19,101.7002,,,,,
2000-10-20,101.7133,,,,,
2000-10-23,101.8254,,,,,
2000-10-24,102.0637,,,,,
2000-10-25,101.9345,,,,,
2000-10-26,101.9685,,,,,
2000-10-27,102.1262,,,,,
2000-10-30,102.2746,,,,,
2000-10-31,102.3507,,,,,
2000-11-01,102.4837,,,,,
2000-11-02,102.51,,,,,
2000-11-03,102.5269,,,,,
2000-11-06,102.538,,,,,
2000-11-07,102.4488,,,,,
2000-11-08,102.421,,,,,
2000-11-09,102.4657,,,,,
2000-11-10,102.6181,,,,,
2000-11-13,102.8098,,,,,
2000-11-14,102.7962,,,,,
2000-11-15,102.9443,,,,,
2000-11-16,103.0528,,,,,
2000-11-17,103.0879,,,,,
2000-11-20,103.0851,,,,,
2000-11-21,102.9597,,,,,
2000-11-22,102.8537,,,,,
2000-11-23,102.8729,,,,,
2000-11-24,102.8986,,,,,
2000-11-27,102.9385,,,,,
2000-11-28,103.0771,,,,,
2000-11-29,103.057,,,,,
2000-11-30,103.2765,,,,,
2000-12-01,103.375,,,,,
2000-12-04,103.3455,,,,,
2000-12-05,103.28,,,,,
2000-12-06,103.4853,,,,,
2000-12-07,103.4463,,,,,
2000-12-08,103.3773,,,,,
2000-12-11,103.3747,,,,,
2000-12-12,103.4522,,,,,
2000-12-13,103.7218,,,,,
2000-12-14,103.9743,,,,,
2000-12-15,104.2994,,,,,
2000-12-18,104.5388,,,,,
2000-12-19,104.4009,,,,,
2000-12-20,104.5597,,,,,
2000-12-21,104.6686,,,,,
2000-12-22,104.6754,,,,,
2000-12-25,104.6754,,,,,
2000-12-26,104.7477,,,,,
2000-12-27,104.8655,,,,,
2000-12-28,104.7431,,,,,
2000-12-29,105.0033,,,,,
2001-01-01,105.0033,,,,,
2001-01-02,105.551,,,,,
2001-01-03,105.4674,,,,,
2001-01-04,105.8123,,,,,
2001-01-05,106.1478,,,,,
2001-01-08,106.1626,,,,,
2001-01-09,105.9602,,,,,
2001-01-10,105.8067,,,,,
2001-01-11,105.8842,,,,,
2001-01-12,105.6314,,,,,
2001-01-15,105.7373,,,,,
2001-01-16,105.7107,,,,,
2001-01-17,105.6901,,,,,
2001-01-18,105.8274,,,,,
2001-01-19,105.8222,,,,,
2001-01-22,105.7989,,,,,
2001-01-23,105.9725,,,,,
2001-01-24,105.9084,,,,,
2001-01-25,105.8706,,,,,
2001-01-26,106.0541,,,,,
2001-01-29,106.1968,,,,,
2001-01-30,106.4167,,,,,
2001-01-31,106.8233,,,,,
2001-02-01,106.9724,,,,,
2001-02-02,107.0088,,,,,
2001-02-05,107.1922,,,,,
2001-02-06,107.1612,,,,,
2001-02-07,107.1479,,,,,
2001-02-08,107.056,,,,,
2001-02-09,107.1953,,,,,
2001-02-12,107.2529,,,,,
2001-02-13,107.3217,,,,,
2001-02-14,107.2858,,,,,
2001-02-15,106.9544,,,,,
2001-02-16,107.0786,,,,,
2001-02-19,107.1979,,,,,
2001-02-20,107.0091,,,,,
2001-02-21,106.7915,,,,,
2001-02-22,106.5987,,,,,
2001-02-23,106.7101,,,,,
2001-02-26,106.8423,,,,,
2001-02-27,107.0929,,,,,
2001-02-28,107.1623,,,,,
2001-03-01,107.2063,,,,,
2001-03-02,107.1998,,,,,
2001-03-05,107.2153,,,,,
2001-03-06,107.2887,,,,,
2001-03-07,107.3592,,,,,
2001-03-08,107.5599,,,,,
2001-03-09,107.487,,,,,
2001-03-12,107.5874,,,,,
2001-03-13,107.48,,,,,
2001-03-14,107.6554,,,,,
2001-03-15,107.7873,,,,,
2001-03-16,107.9574,,,,,
2001-03-19,107.8614,,,,,
2001-03-20,107.7081,,,,,
2001-03-21,107.8385,,,,,
2001-03-22,108.1066,,,,,
2001-03-23,107.7457,,,,,
2001-03-26,107.8444,,,,,
2001-03-27,107.751,,,,,
2001-03-28,107.7917,,,,,
2001-03-29,107.7093,,,,,
2001-03-30,107.8087,,,,,
2001-04-02,107.7574,,,,,
2001-04-03,107.7681,,,,,
2001-04-04,107.6586,,,,,
2001-04-05,107.6193,,,,,
2001-04-06,107.5732,,,,,
2001-04-09,107.5492,,,,,
2001-04-10,107.503,,,,,
2001-04-11,107.2012,,,,,
2001-04-12,107.2734,,,,,
2001-04-13,107.2915,,,,,
2001-04-16,107.3459,,,,,
2001-04-17,107.2761,,,,,
2001-04-18,107.3857,,,,,
2001-04-19,107.4056,,,,,
2001-04-20,107.4164,,,,,
2001-04-23,107.48,,,,,
2001-04-24,107.3961,,,,,
2001-04-25,107.5111,,,,,
2001-04-26,107.8937,,,,,
2001-04-27,107.7404,,,,,
2001-04-30,107.5277,,,,,
2001-05-01,107.548,,,,,
2001-05-02,107.8407,,,,,
2001-05-03,107.9751,,,,,
2001-05-04,108.142,,,,,
2001-05-07,108.1964,,,,,
2001-05-08,108.2577,,,,,
2001-05-09,108.3786,,,,,
2001-05-10,108.6509,,,,,
2001-05-11,108.4601,,,,,
2001-05-14,108.3767,,,,,
2001-05-15,108.4211,,,,,
2001-05-16,108.5751,,,,,
2001-05-17,108.7715,,,,,
2001-05-18,108.8684,,,,,
2001-05-21,109.0091,,,,,
2001-05-22,108.8528,,,,,
2001-05-23,108.8081,,,,,
2001-05-24,108.8054,,,,,
2001-05-25,108.7252,,,,,
2001-05-28,108.7797,,,,,
2001-05-29,109.0226,,,,,
2001-05-30,109.0552,,,,,
2001-05-31,108.9954,,,,,
2001-06-01,109.4505,,,,,
2001-06-04,109.5996,,,,,
2001-06-05,109.9236,,,,,
2001-06-06,109.7715,,,,,
2001-06-07,109.6124,,,,,
2001-06-08,109.5676,,,,,
2001-06-11,109.6676,,,,,
2001-06-12,109.4499,,,,,
2001-06-13,109.3292,,,,,
2001-06-14,109.6868,,,,,
2001-06-15,109.5549,,,,,
2001-06-18,109.6921,,,,,
2001-06-19,109.6159,,,,,
2001-06-20,109.6736,,,,,
2001-06-21,109.8073,,,,,
2001-06-22,109.9879,,,,,
2001-06-25,110.0236,,,,,
2001-06-26,109.9701,,,,,
2001-06-27,110.0565,,,,,
2001-06-28,110.0114,,,,,
2001-06-29,109.7797,,,,,
2001-07-02,109.9303,,,,,
2001-07-03,109.746,,,,,
2001-07-04,109.8188,,,,,
2001-07-05,109.6341,,,,,
2001-07-06,109.7007,,,,,
2001-07-09,109.6046,,,,,
2001-07-10,109.6963,,,,,
2001-07-11,109.6725,,,,,
2001-07-12,109.5283,,,,,
2001-07-13,109.5654,,,,,
2001-07-16,109.7292,,,,,
2001-07-17,109.7902,,,,,
2001-07-18,109.9671,,,,,
2001-07-19,109.992,,,,,
2001-07-20,110.2407,,,,,
2001-07-23,110.3715,,,,,
2001-07-24,110.4321,,,,,
2001-07-25,110.4155,,,,,
2001-07-26,110.5663,,,,,
2001-07-27,110.7815,,,,,
2001-07-30,110.9694,,,,,
2001-07-31,111.0125,,,,,
2001-08-01,111.1076,,,,,
2001-08-02,111.0552,,,,,
2001-08-03,111.2116,,,,,
2001-08-06,111.3546,,,,,
2001-08-07,111.3403,,,,,
2001-08-08,111.3496,,,,,
2001-08-09,111.6965,,,,,
2001-08-10,111.7065,,,,,
2001-08-13,111.8597,,,,,
2001-08-14,111.6626,,,,,
2001-08-15,111.6973,,,,,
2001-08-16,111.6043,,,,,
2001-08-17,111.7137,,,,,
2001-08-20,111.5914,,,,,
2001-08-21,111.3923,,,,,
2001-08-22,111.2545,,,,,
2001-08-23,111.1044,,,,,
2001-08-24,110.9404,,,,,
2001-08-27,110.9957,,,,,
2001-08-28,111.4721,,,,,
2001-08-29,111.654,,,,,
2001-08-30,111.8812,,,,,
2001-08-31,111.4728,,,,,
2001-09-03,110.5474,,,,,
2001-09-04,110.0378,,,,,
2001-09-05,109.3678,,,,,
