Date,TRDPRC_1,MOD_DURTN,MAC_DURTN,CONVEXITY,AVG_LIFE,YLDTOMAT
2023-08-08,147.3794,,,,,
2023-08-09,147.5131,,,,,
2023-08-10,147.5227,,,,,
2023-08-11,147.5661,,,,,
2023-08-14,147.6819,,,,,
2023-08-15,147.5173,,,,,
2023-08-16,147.4556,,,,,
2023-08-17,147.1598,,,,,
2023-08-18,147.0319,,,,,
2023-08-21,147.0053,,,,,
2023-08-22,147.1461,,,,,
2023-08-23,147.2991,,,,,
2023-08-24,147.5059,,,,,
2023-08-25,147.4137,,,,,
2023-08-28,147.4195,,,,,
2023-08-29,147.744,,,,,
2023-08-30,147.8197,,,,,
2023-08-31,147.9265,,,,,
2023-09-01,147.888,,,,,
2023-09-04,148.0761,,,,,
2023-09-05,148.0859,,,,,
2023-09-06,148.0195,,,,,
2023-09-07,148.2004,,,,,
2023-09-08,148.2446,,,,,
2023-09-11,148.4361,,,,,
2023-09-12,148.5633,,,,,
2023-09-13,148.5568,,,,,
2023-09-14,148.8468,,,,,
2023-09-15,149.0687,,,,,
2023-09-18,149.0186,,,,,
2023-09-19,149.0516,,,,,
2023-09-20,149.1125,,,,,
2023-09-21,148.8995,,,,,
2023-09-22,148.7769,,,,,
2023-09-25,148.7606,,,,,
2023-09-26,148.407,,,,,
2023-09-27,148.3397,,,,,
2023-09-28,147.9664,,,,,
2023-10-02,148.3777,,,,,
2023-10-03,148.0933,,,,,
2023-10-04,147.5004,,,,,
2023-10-05,147.5028,,,,,
2023-10-06,147.3019,,,,,
2023-10-09,147.2562,3.008,3.2311,0.1021,3.6637,8.1654
2023-10-10,147.6212,3.009,3.23,0.1005,3.661,8.093
2023-10-11,148.0175,3.0108,3.2296,0.0985,3.6582,8.0159
2023-10-12,148.1994,,,,,
2023-10-13,148.0816,,,,,
2023-10-16,147.924,2.9981,3.2176,0.0991,3.6429,8.0587
2023-10-17,147.6107,2.9908,3.2119,0.1016,3.6401,8.1291
