Date,MID_SPREAD
2004-12-22,36.249985
2004-12-23,36.333
2004-12-27,36.3333
2004-12-28,36.3333
2004-12-29,36.5
2004-12-30,36.5
2004-12-31,36.5
2005-01-03,36.1875
2005-01-04,36.0
2005-01-05,37.0
2005-01-06,37.359375
2005-01-07,37.5
2005-01-10,37.5
2005-01-11,37.5
2005-01-12,37.0
2005-01-13,36.5
2005-01-14,36.5
2005-01-17,36.5
2005-01-18,37.23214286
2005-01-19,36.5
2005-01-20,36.5
2005-01-21,36.5
2005-01-24,36.5
2005-01-25,34.0
2005-01-26,33.5
2005-01-27,33.0
2005-01-28,33.0
2005-01-31,33.0
2005-02-01,32.0
2005-02-02,30.5
2005-02-03,31.5
2005-02-04,31.0
2005-02-07,30.5
2005-02-08,30.0
2005-02-09,30.5
2005-02-10,30.64583334
2005-02-11,30.0
2005-02-14,30.0
2005-02-15,30.0
2005-02-16,30.0
2005-02-17,30.0
2005-02-18,30.5
2005-02-21,30.25
2005-02-22,30.5
2005-02-23,30.5
2005-02-24,30.125
2005-02-25,29.5
2005-02-28,29.375
2005-03-01,29.25
2005-03-02,28.975
2005-03-03,27.875
2005-03-04,27.875
2005-03-07,27.75
2005-03-08,28.0
2005-03-09,29.0
2005-03-10,29.0
2005-03-11,28.5
2005-03-14,29.0
2005-03-15,29.375
2005-03-16,30.875
2005-03-17,31.0
2005-03-18,31.0
2005-03-22,36.5
2005-03-23,38.109375
2005-03-24,37.0
2005-03-29,37.344
2005-03-30,38.30555556
2005-03-31,39.75
2005-04-01,40.375
2005-04-04,43.25
2005-04-05,40.875
2005-04-06,38.875
2005-04-07,38.0
2005-04-08,37.5
2005-04-11,40.15909091
2005-04-12,40.0
2005-04-13,40.75
2005-04-14,42.625
2005-04-15,46.0
2005-04-18,47.5
2005-04-19,45.625
2005-04-20,42.0
2005-04-21,41.43055556
2005-04-22,41.5
2005-04-25,41.0
2005-04-26,41.5
2005-04-27,43.25
2005-04-28,43.25
2005-04-29,45.75
2005-05-03,45.2915
2005-05-04,43.875
2005-05-05,41.5
2005-05-06,44.5
2005-05-09,46.035
2005-05-10,50.25
2005-05-11,53.5
2005-05-12,52.75
2005-05-13,54.0415
2005-05-16,56.0
2005-05-17,59.0
2005-05-18,58.258
2005-05-19,51.0
2005-05-20,49.345
2005-05-23,47.0
2005-05-24,45.0
2005-05-25,46.125
2005-05-26,41.0
2005-05-27,43.0
2005-05-30,42.25
2005-05-31,43.047
2005-06-01,44.2915
2005-06-02,40.875
2005-06-03,39.5
2005-06-06,40.8625
2005-06-07,40.75
2005-06-08,40.7705
2005-06-09,42.453
2005-06-10,41.6605
2005-06-13,41.268
2005-06-14,40.4585
2005-06-15,38.5
2005-06-16,40.0
2005-06-17,39.5895
2005-06-20,39.8575
2005-06-21,39.25
2005-06-22,39.1665
2005-06-23,39.25
2005-06-24,40.3575
2005-06-27,42.6785
2005-06-28,41.875
2005-06-29,40.1965
2005-06-30,39.625
2005-07-01,39.5895
2005-07-04,39.4285
2005-07-05,38.875
2005-07-06,38.6605
2005-07-07,40.1785
2005-07-08,40.1075
2005-07-11,37.75
2005-07-12,37.0
2005-07-13,37.1665
2005-07-14,36.1455
2005-07-15,36.2295
2005-07-18,36.375
2005-07-19,36.5625
2005-07-20,36.771
2005-07-21,36.0
2005-07-22,36.125
2005-07-25,35.75
2005-07-26,36.172
2005-07-27,36.3035
2005-07-28,35.8035
2005-07-29,35.7705
2005-08-01,35.5
2005-08-02,35.6965
2005-08-03,35.75
2005-08-04,35.5
2005-08-05,36.607
2005-08-08,36.5
2005-08-09,36.9465
2005-08-10,36.25
2005-08-11,36.143
2005-08-12,35.75
2005-08-15,36.25
2005-08-16,35.5
2005-08-17,36.4285
2005-08-18,36.354
2005-08-19,35.75
2005-08-22,35.25
2005-08-23,35.25
2005-08-24,35.75
2005-08-25,36.0
2005-08-26,36.25
2005-08-29,36.25
2005-08-30,36.75
2005-08-31,36.75
2005-09-01,37.25
2005-09-02,37.25
2005-09-05,37.0
